hour,day_of_week,is_weekend,ping_avg_rtt_ms_lag_1,ping_avg_rtt_ms_lag_2,ping_avg_rtt_ms_lag_3,ping_avg_rtt_ms_lag_4,download_lag_1,upload_lag_1,jitter_lag_1,weather_code,target
11,3,0,24.22,24.56,28.86,32.42,283.11,31.18,3.27,0.0,33.26
11,3,0,27.18,24.22,24.56,28.86,354.7,40.4,5.77,0.0,25.92
11,3,0,33.26,27.18,24.22,24.56,113.14,19.44,6.78,0.0,37.54
11,3,0,25.92,33.26,27.18,24.22,113.12,41.88,7.2,0.0,27.78
12,3,0,37.54,25.92,33.26,27.18,130.18,36.35,7.41,0.0,30.14
12,3,0,27.78,37.54,25.92,33.26,379.46,41.49,5.14,0.0,28.04
12,3,0,30.14,27.78,37.54,25.92,343.06,15.58,7.08,0.0,24.68
12,3,0,28.04,30.14,27.78,37.54,335.07,35.35,4.86,0.0,24.84
13,3,0,24.68,28.04,30.14,27.78,137.17,40.37,4.29,0.0,25.22
13,3,0,24.84,24.68,28.04,30.14,326.87,20.01,3.59,0.0,25.6
13,3,0,25.22,24.84,24.68,28.04,172.68,29.32,3.24,0.0,21.38
13,3,0,25.6,25.22,24.84,24.68,147.58,26.67,4.9,0.0,23.44
14,3,0,21.38,25.6,25.22,24.84,315.7,50.2,2.33,0.0,27.14
14,3,0,23.44,21.38,25.6,25.22,115.97,39.83,3.02,0.0,27.3
14,3,0,27.14,23.44,21.38,25.6,338.19,46.15,4.55,3.0,22.58
14,3,0,27.3,27.14,23.44,21.38,267.74,16.67,5.41,3.0,21.9
15,3,0,22.58,27.3,27.14,23.44,160.73,37.93,3.57,3.0,38.56
15,3,0,21.9,22.58,27.3,27.14,256.22,41.2,4.86,3.0,37.24
15,3,0,38.56,21.9,22.58,27.3,246.46,21.1,5.61,3.0,63.82
15,3,0,37.24,38.56,21.9,22.58,197.66,28.86,5.69,3.0,23.2
16,3,0,63.82,37.24,38.56,21.9,155.34,51.42,7.92,2.0,23.16
16,3,0,23.2,63.82,37.24,38.56,128.69,41.03,3.47,2.0,31.54
16,3,0,23.16,23.2,63.82,37.24,290.85,37.28,3.1,2.0,25.22
16,3,0,31.54,23.16,23.2,63.82,197.36,37.54,6.06,2.0,37.04
17,3,0,25.22,31.54,23.16,23.2,166.46,52.35,3.61,2.0,24.18
17,3,0,37.04,25.22,31.54,23.16,158.27,53.04,10.08,2.0,26.7
17,3,0,24.18,37.04,25.22,31.54,326.95,28.93,3.04,2.0,24.18
17,3,0,26.7,24.18,37.04,25.22,175.84,27.3,3.76,2.0,22.48
18,3,0,24.18,26.7,24.18,37.04,45.13,6.41,3.92,1.0,26.22
18,3,0,22.48,24.18,26.7,24.18,57.52,7.32,3.04,1.0,27.98
18,3,0,26.22,22.48,24.18,26.7,391.45,32.06,5.65,1.0,25.8
18,3,0,27.98,26.22,22.48,24.18,301.9,48.73,4.8,1.0,26.48
19,3,0,25.8,27.98,26.22,22.48,165.67,10.82,6.86,0.0,27.68
19,3,0,26.48,25.8,27.98,26.22,119.18,46.99,4.78,0.0,29.32
19,3,0,27.68,26.48,25.8,27.98,207.24,13.32,3.69,0.0,25.4
20,3,0,29.32,27.68,26.48,25.8,323.18,30.46,6.63,1.0,26.12
